,repository_name,language
0,.github,
1,aegisthus,Java
2,af_tsa,C
3,aminator,Python
4,archaius,Java
5,asf-rez-fork,Python
6,asgard,Groovy
7,astyanax,Java
8,atlas,Scala
9,atlas-docs,Python
10,aws-autoscaling,Shell
11,awsobjectmapper,Groovy
12,batch_request_api,Ruby
13,batch_request_client,Ruby
14,bbparse,C
15,bettertls,Go
16,blesk,JavaScript
17,bless,Python
18,blitz4j,Java
19,bpftop,C
20,brutal,Python
21,cachemover,C++
22,CassJMeter,Java
23,chaosmonkey,Go
24,Cloud-Prize,
25,clove,Python
26,codec_compare,Python
27,concurrency-limits,Java
28,conductor,Java
29,conductor-community,Java
30,conductor-docs,Python
31,conductor-ui,JavaScript
32,consoleme,Python
33,curator,Java
34,denominator,Java
35,derand,Java
36,dgs,HTML
37,dgs-codegen,Kotlin
38,dgs-examples-java,Java
39,dgs-examples-java-2.7,Java
40,dgs-examples-java.latest,Java
41,dgs-examples-kotlin,Kotlin
42,dgs-examples-kotlin-2.7,Kotlin
43,dgs-examples-webflux,Java
44,dgs-federation-example,Kotlin
45,dgs-framework,Kotlin
46,dgs-intellij-plugin,Kotlin
47,dial-reference,C
48,dispatch,Python
49,dispatch-docker,Shell
50,dyno,Java
51,dyno-queues,Java
52,dynomite,C
53,dynomite-manager,Java
54,e2nest,Python
55,eclipse-jifa,Java
56,eclipse-mat,
57,edda,Scala
58,edda-client,Java
59,element-server,JavaScript
60,ember-batch-request,JavaScript
61,ember-nf-graph,JavaScript
62,ember-nf-graph-examples,JavaScript
63,eslint-config-netflix,Shell
64,eslint-plugin-x-element,JavaScript
65,eureka,Java
66,eureka-ui,JavaScript
67,EVCache,Java
68,fabricator,Java
69,falcor,JavaScript
70,falcor-datasource-chainer,JavaScript
71,falcor-express,JavaScript
72,falcor-express-demo,HTML
73,falcor-hapi,JavaScript
74,falcor-hapi-demo,HTML
75,falcor-http-datasource,JavaScript
76,falcor-json-graph,JavaScript
77,falcor-observable,JavaScript
78,falcor-path-syntax,JavaScript
79,falcor-path-utils,JavaScript
80,falcor-restify,JavaScript
81,falcor-restify-demo,HTML
82,falcor-router,JavaScript
83,falcor-router-demo,JavaScript
84,fast_jsonapi,Ruby
85,Fenzo,Java
86,Fido,C#
87,flamescope,Python
88,frigga,Java
89,genie,Java
90,glisten,Groovy
91,global-lock-bench,C
92,go-env,Go
93,go-expect,Go
94,go-iomux,Go
95,governator,Java
96,gradle-template,Java
97,hal-9001,Go
98,hollow,Java
99,hollow-reference-implementation,Java
100,hubcommander,Python
101,Hystrix,Java
102,iceberg,Java
103,iceberg-python,Python
104,iep,Java
105,iep-shadow,
106,image_compression_comparison,Python
107,inviso,JavaScript
108,karyon,Java
109,lemur,Python
110,lemur-docker,Python
111,libamicontained,Rust
112,Lipstick,JavaScript
113,maestro,Java
114,mantis,Java
115,mantis-api,Java
116,mantis-cli,JavaScript
117,mantis-connectors,Java
118,mantis-control-plane,Java
119,mantis-examples,Java
120,mantis-gradle-plugin,Groovy
121,mantis-helm,Smarty
122,mantis-mql,Clojure
123,mantis-rxcontrol,Java
124,mantis-rxnetty,
125,mantis-source-jobs,Java
126,mantis-ui,TypeScript
127,matchcut,Jupyter Notebook
128,metacat,Java
129,metaflow,Python
130,metaflow-docs,JavaScript
131,metaflow-extensions-template,Python
132,metaflow-nflx-extensions,Python
133,metaflow-service,Python
134,metaflow-tools,HCL
135,metaflow-ui,TypeScript
136,metrics-client-go,Go
137,msl,C++
138,ndbench,HTML
139,nerror,JavaScript
140,netflix-commons,Java
141,netflix-graph,Java
142,netflix.github.com,HTML
143,netflixoss-npm-build-infrastructure,
144,nf-data-explorer,TypeScript
145,nflx-geofeed,
146,nflxprofile,Python
147,NfWebCrypto,C++
148,Nicobar,Java
149,ocelli,Java
150,octodns,Python
151,octodns-ns1,Python
152,octodns-route53,Python
153,octodns-ultra,Python
154,OpenVPCal,Python
155,osstracker,Scala
156,p2plab,Go
157,photon,Java
158,PigPen,Clojure
159,pollyjs,JavaScript
160,polynote,HTML
161,Prana,Java
162,Priam,Java
163,probnik,TypeScript
164,pygenie,Python
165,pytheas,JavaScript
166,q,Java
167,Raigad,Java
168,ReactiveLab,Java
169,read_bbrlog,C
170,recipes-rss,Java
171,rend,Go
172,rend-http,Go
173,rend-lmdb,Go
174,repokid,Python
175,restful-jsonapi,Ruby
176,ribbon,Java
177,runtime-health,Java
178,rx-aws-java-sdk,Java
179,s3mper,Java
180,security-bulletins,
181,security_monkey,Python
182,servo,Java
183,sherlock,R
184,signal-wrapper,Go
185,SimianArmy,Java
186,sleepy-puppy-docker,Dockerfile
187,spark,Scala
188,spectator,Java
189,spectator-cpp,C++
190,spectator-go,Go
191,spectator-go-runtime-metrics,Go
192,spectator-js,TypeScript
193,spectator-py,Python
194,spectator-py-runtime-metrics,Python
195,spectator-rb,Ruby
196,staash,Java
197,sureal,Python
198,suro,Java
199,Surus,Java
200,taskintrospection,C
201,tcplog_dumper,C
202,techreports,
203,titus,
204,titus-api-definitions,Makefile
205,titus-control-plane,Java
206,titus-executor,Go
207,titus-kube-common,Go
208,tslint-config-netflix,JavaScript
209,ttal-dapt-conv,JavaScript
210,Turbine,Java
211,unleash,JavaScript
212,user2020-metaflow-tutorial,R
213,vector,JavaScript
214,vectorflow,D
215,videoannotator,Jupyter Notebook
216,virtual-kubelet,Go
217,vizceral,JavaScript
218,vizceral-component,JavaScript
219,vizceral-example,JavaScript
220,vizceral-react,JavaScript
221,vmaf,Python
222,vmaf_resource,
223,vp9-dash,
224,webpack-parse-query,JavaScript
225,weep,Go
226,Workflowable,Ruby
227,x-element,JavaScript
228,x-test,JavaScript
229,x-test-cli,JavaScript
230,yetch,JavaScript
231,zeno,Java
232,zuul,Java
